obs,aluminum,barley,beef,coal,cocoa,coffee,rapeseed_oil,copper,cotton,hides,lamb,lead,soft_logs,hard_logs,maize,nickel,oil_brent,oil_DF,oil_WTI,olive_oil,swine,poultry,rice,rubber,fish,hard_sawnwood,soft_sawnwood,shrimp,sunflower_oil,tea,tin,uranium,wheat,wool,zinc,gold,silver,platinum,cpi
2015M07,69.4158875192836,101.989589166989,164.838210197187,182.721426150009,257.551649466964,99.873450967702,154.75406545838,210.487559587597,108.483552845764,70.4688341786869,59.2860508145462,265.738145059916,72.1743418890291,88.8773699910871,137.430348365817,97.6216623804973,157.550743938732,172.643635867218,133.58520877649,89.8152632538301,104.635082229762,141.591464361435,111.424898217155,181.097007910424,97.1848222928829,93.7562425350523,72.6095067854095,75.79298475491,177.471147964187,125.725290018277,180.882030219151,270.220181049414,151.342814394859,246.771729495798,120.736742657214,282.938059742864,206.627861725357,163.285087876983,238.034
2015M08,65.5473756234111,93.5415835435562,170.957069130252,179.633516280837,244.238039842699,103.446844387128,146.58388827276,197.780253490941,107.696784283982,67.3307458333016,54.4023457878098,256.7795600048,71.9294448100721,89.0365134907907,124.524084446115,88.8367772686552,132.530891156233,145.142647708301,111.916790952239,100.984818740729,104.153171695002,141.000891223321,107.928622748047,156.909027249908,100.107403734251,93.9674596381698,74.0196385882068,76.2621277243618,162.698060146339,120.828515705584,181.989843421172,268.821167235314,131.820139807126,247.619254753602,109.087258067129,279.793968337715,204.791664383784,158.715091458241,238.033
2015M09,67.4551167355624,90.1623754091861,163.590558652562,175.414595229638,254.445738295012,96.4172678007482,149.404628578248,201.703326869228,103.300081303868,71.1979043343159,51.9895904674264,254.434845293086,73.9606495101199,91.4800078766475,127.363708662165,85.1923893250192,133.510628035574,141.908438104571,119.019988284869,100.030381436478,96.4704807700888,140.777432546517,103.333597705576,145.254364745072,92.5597349787556,92.7117934836549,73.363153459284,77.3541025948049,163.30227564864,116.06136424713,185.882892168504,276.607459113792,124.922589815942,232.406957145489,104.046035476339,282.19516197091,202.230116738783,156.044875537226,237.498
2015M10,64.2889374651985,92.0714150412612,149.005117814815,162.660941918788,247.905212576579,100.385441706984,156.645490661212,201.459178708048,103.634866594797,69.6347711230842,51.5789087672335,259.595852088838,71.6819830549179,91.5039202421345,131.352708600367,88.3564891180597,135.888943818189,143.018559618657,120.771582414119,91.0667297046304,98.2959154811487,139.793206224671,103.715421854931,143.8672661414,92.4498376791691,92.5175362130752,74.2061395576315,81.5903988671127,175.998931799324,122.388724310429,189.800143179597,277.691205473306,125.85032180329,227.326827303505,104.191770352223,290.618637764588,215.605960842519,157.754954769138,237.733
2015M11,62.1545428969847,91.1941724132866,142.799877849385,158.065903324358,260.271232674946,97.0429936352219,151.250330657862,185.16377885792,103.802127973902,64.0120533295638,50.6970320767661,243.945674869292,68.2644842085061,89.4856849998201,127.096703053361,79.076830056657,125.271743279774,129.87094297754,111.373348824274,78.2657800076028,78.6063025067347,138.456205678635,102.995619657589,135.016004564986,92.2292491669352,91.6117783583967,75.9078821641988,80.7506904033153,173.45814312652,110.367205453186,176.979194184724,267.863536607344,119.890407213684,236.224519056251,95.5559448842611,271.856901728646,198.896263634512,142.504553853539,238.017
2015M12,63.4638236239165,86.3325881877287,134.911072449219,158.48574108812,259.374319489816,97.7201760288892,157.695375795451,179.142854385433,105.665781983486,66.9111800489208,50.3512820958154,257.523452186152,72.6929518234235,90.2148918887309,125.63405255945,74.567361443721,106.504011997387,106.603123062084,97.3487928168541,73.2914628625321,73.2755386183653,138.254334083119,101.946218720021,137.972363935029,106.588144716623,90.4075073779631,71.1873905242801,83.0670998446933,169.845198120939,107.274587882259,176.525775099072,262.179595150227,124.65054768719,244.018913146301,92.3042378825298,267.775725499203,192.892934991115,138.845645707921,237.761
2016M01,62.8100823524415,80.8938648230975,128.480704918371,151.641757411134,228.993094086586,95.4855635942415,151.39116107353,172.771101913629,103.254168500844,68.1727134511874,48.4795456599412,248.525589701364,76.1637936623115,92.8895847521451,123.465300643561,72.8838505684614,87.0088479155302,83.7376453621247,82.9155792105403,79.7104270648095,75.2444010829678,137.68403432728,103.46898333817,134.947752512226,118.786253419598,86.9911113850892,75.8876723160336,79.1333671343733,169.589450900709,99.9296586841855,165.984927674242,258.771481870231,125.254812974276,240.808257788412,91.8978925319635,275.201813030264,192.459612035044,138.07724135441,237.652
2016M02,65.0237992241206,84.9207025378361,138.550299671784,152.846875886752,226.498257501984,97.3234042489308,151.794034577877,177.907878640643,100.114694602864,67.5509231831332,48.1780840606833,266.928893052842,72.805356188001,95.8170787710829,122.569121326202,71.1897760804511,93.8988293451443,91.1363528755612,79.4750156126049,84.9753914756368,87.0005971840074,137.332024443694,107.559341348906,139.313601448338,113.248792866973,86.4965576643452,79.0937389505989,82.5497303229817,173.051627212743,89.8748511622282,187.897175906304,254.014371919228,121.362059995084,247.534896578997,103.488682410234,301.316892731747,207.180550941459,148.852081804171,237.336
2016M03,64.8100169794026,89.0542168560109,142.056628767098,157.05232664771,237.957444816893,102.228501127636,149.073785360974,191.049871570662,98.1317509272842,68.1247338539471,47.7536010172338,271.58617015595,77.0372689737307,97.0906743057556,121.81123488281,74.548384156927,110.167781586554,107.902131707094,98.6097634477681,80.9843974550198,87.4038771708152,136.237318594205,106.44401915662,159.811875989645,126.878127952127,85.6660875037215,75.9282542450193,80.6414351523716,168.253075806227,82.2471495280961,202.758454722077,224.180666096662,124.610373619822,253.511342286571,108.706844084425,311.997148571277,211.35788311115,155.997360497739,238.08
2016M04,66.2585225718952,97.6577914736366,142.083981084121,154.262922534939,237.433096445602,100.063618454616,155.903310157271,187.206561916968,103.465273796605,67.9669180427009,47.8757394855854,260.053804965402,72.9003935452655,99.6861767804346,125.338263339759,75.640666159404,118.668285201229,119.301999516751,106.526644346294,80.2159351110692,88.9618024877693,135.715000224645,107.632065449298,189.272365156882,130.07320236812,85.8852123274723,77.4644341965628,83.7190442281826,170.009165879681,73.9418235683438,203.599862458252,206.338616079331,123.625636264931,262.152620606648,111.518735475796,309.790103093836,222.00740378931,159.699808545855,238.992
